item#,Item,Sign,Key,Dimension,Facet,f_dimension,f_facet
i1,Worry about things.,+N1,N1,Neuroticism,Anxiety,dimension1,dimension1_facet3
i10,Like order.,+C2,C2,Conscientiousness,Orderliness,dimension3,dimension3_facet2
i100,Love order and regularity.,+C2,C2,Conscientiousness,Orderliness,dimension3,dimension3_facet2
i101,Have a low opinion of myself.,+N3,N3,Neuroticism,Depression,dimension1,dimension1_facet4
i102,Seek to influence others.,+E3,E3,Extraversion,Assertiveness,dimension2,dimension2_facet3
i103,Enjoy examining myself and my life.,+O3,O3,Openness,Emotionality,dimension5,dimension5_facet6
i104,Am concerned about others.,+A3,A3,Agreeableness,Altruism,dimension4,dimension4_facet1
i105,Tell the truth.,+C3,C3,Conscientiousness,Dutifulness,dimension3,dimension3_facet4
i106,Am afraid to draw attention to myself.,+N4,N4,Neuroticism,Self-Consciousness,dimension1,dimension1_facet1
i107,Can manage many things at the same time.,+E4,E4,Extraversion,Activity Level,dimension3,dimension3_facet1
i108,Like to begin new things.,+O4,O4,Openness,Adventurousness,dimension5,dimension5_facet5
i109,Have a sharp tongue.,-A4,A4,Agreeableness,Cooperation,dimension4,dimension4_facet4
i11,Often feel blue.,+N3,N3,Neuroticism,Depression,dimension1,dimension1_facet5
i110,Plunge into tasks with all my heart.,+C4,C4,Conscientiousness,Achievement-Striving,dimension3,dimension3_facet1
i111,Go on binges.,+N5,N5,Neuroticism,Immoderation,dimension1,dimension1_facet6
i112,Enjoy being part of a loud crowd.,+E5,E5,Extraversion,Excitement-Seeking,dimension2,dimension2_facet1
i113,Can handle a lot of information.,+O5,O5,Openness,Intellect,dimension5,dimension5_facet2
i114,Seldom toot my own horn.,+A5,A5,Agreeableness,Modesty,dimension4,dimension4_facet4
i115,Get to work at once.,+C5,C5,Conscientiousness,Self-Discipline,dimension3,dimension3_facet1
i116,Can't make up my mind.,+N6,N6,Neuroticism,Vulnerability,dimension1,dimension1_facet1
i117,Laugh my way through life.,+E6,E6,Extraversion,Cheerfulness,dimension2,dimension2_facet4
i118,Believe in one true religion.,-O6,O6,Openness,Liberalism,dimension5,dimension5_facet4
i119,Suffer from others' sorrows.,+A6,A6,Agreeableness,Sympathy,dimension4,dimension4_facet1
i12,Take charge.,+E3,E3,Extraversion,Assertiveness,dimension2,dimension2_facet3
i120,Jump into things without thinking.,-C6,C6,Conscientiousness,Cautiousness,dimension3,dimension3_facet3
i121,Get caught up in my problems.,+N1,N1,Neuroticism,Anxiety,dimension1,dimension1_facet3
i122,Cheer people up.,+E1,E1,Extraversion,Friendliness,dimension2,dimension2_facet4
i123,Indulge in my fantasies.,+O1,O1,Openness,Imagination,dimension5,dimension5_facet1
i124,Believe in human goodness.,+A1,A1,Agreeableness,Trust,dimension4,dimension4_facet2
i125,Come up with good solutions.,+C1,C1,Conscientiousness,Self-Efficacy,dimension5,dimension5_facet5
i126,Lose my temper.,+N2,N2,Neuroticism,Anger,dimension1,dimension1_facet2
i127,Love surprise parties.,+E2,E2,Extraversion,Gregariousness,dimension2,dimension2_facet1
i128,Enjoy the beauty of nature.,+O2,O2,Openness,Artistic Interests,dimension5,dimension5_facet3
i129,Know how to get around the rules.,-A2,A2,Agreeableness,Morality,dimension4,dimension4_facet3
i13,Experience my emotions intensely.,+O3,O3,Openness,Emotionality,dimension1,dimension1_facet3
i130,Do things according to a plan.,+C2,C2,Conscientiousness,Orderliness,dimension3,dimension3_facet2
i131,Have frequent mood swings.,+N3,N3,Neuroticism,Depression,dimension1,dimension1_facet2
i132,Take control of things.,+E3,E3,Extraversion,Assertiveness,dimension3,dimension3_facet1
i133,Try to understand myself.,+O3,O3,Openness,Emotionality,dimension5,dimension5_facet6
i134,Have a good word for everyone.,+A3,A3,Agreeableness,Altruism,dimension4,dimension4_facet2
i135,Listen to my conscience.,+C3,C3,Conscientiousness,Dutifulness,dimension4,dimension4_facet3
i136,Only feel comfortable with friends.,+N4,N4,Neuroticism,Self-Consciousness,dimension1,dimension1_facet1
i137,React quickly.,+E4,E4,Extraversion,Activity Level,dimension2,dimension2_facet3
i138,Prefer to stick with things that I know.,-O4,O4,Openness,Adventurousness,dimension5,dimension5_facet5
i139,Contradict others.,-A4,A4,Agreeableness,Cooperation,dimension4,dimension4_facet3
i14,Make people feel welcome.,+A3,A3,Agreeableness,Altruism,dimension4,dimension4_facet1
i140,Do more than what's expected of me.,+C4,C4,Conscientiousness,Achievement-Striving,dimension3,dimension3_facet1
i141,Love to eat.,+N5,N5,Neuroticism,Immoderation,dimension1,dimension1_facet6
i142,Enjoy being reckless.,+E5,E5,Extraversion,Excitement-Seeking,dimension2,dimension2_facet2
i143,Enjoy thinking about things.,+O5,O5,Openness,Intellect,dimension5,dimension5_facet6
i144,Believe that I am better than others.,-A5,A5,Agreeableness,Modesty,dimension4,dimension4_facet5
i145,Carry out my plans.,+C5,C5,Conscientiousness,Self-Discipline,dimension3,dimension3_facet1
i146,Get overwhelmed by emotions.,+N6,N6,Neuroticism,Vulnerability,dimension1,dimension1_facet3
i147,Love life.,+E6,E6,Extraversion,Cheerfulness,dimension2,dimension2_facet4
i148,Tend to vote for conservative political candidates.,-O6,O6,Openness,Liberalism,dimension5,dimension5_facet4
i149,Am not interested in other people's problems.,-A6,A6,Agreeableness,Sympathy,dimension4,dimension4_facet1
i15,Try to follow the rules.,+C3,C3,Conscientiousness,Dutifulness,dimension3,dimension3_facet4
i150,Make rash decisions.,-C6,C6,Conscientiousness,Cautiousness,dimension3,dimension3_facet3
i151,Am not easily bothered by things.,-N1,N1,Neuroticism,Anxiety,dimension1,dimension1_facet3
i152,Am hard to get to know.,-E1,E1,Extraversion,Friendliness,dimension2,dimension2_facet1
i153,Spend time reflecting on things.,+O1,O1,Openness,Imagination,dimension5,dimension5_facet6
i154,Think that all will be well.,+A1,A1,Agreeableness,Trust,dimension4,dimension4_facet2
i155,Know how to get things done.,+C1,C1,Conscientiousness,Self-Efficacy,dimension3,dimension3_facet1
i156,Rarely get irritated.,-N2,N2,Neuroticism,Anger,dimension1,dimension1_facet2
i157,Prefer to be alone.,-E2,E2,Extraversion,Gregariousness,dimension2,dimension2_facet1
i158,Do not like art.,-O2,O2,Openness,Artistic Interests,dimension5,dimension5_facet3
i159,Cheat to get ahead.,-A2,A2,Agreeableness,Morality,dimension4,dimension4_facet3
i16,Am easily intimidated.,+N4,N4,Neuroticism,Self-Consciousness,dimension1,dimension1_facet1
i160,Often forget to put things back in their proper place.,-C2,C2,Conscientiousness,Orderliness,dimension3,dimension3_facet2
i161,Feel desperate.,+N3,N3,Neuroticism,Depression,dimension1,dimension1_facet5
i162,Wait for others to lead the way.,-E3,E3,Extraversion,Assertiveness,dimension2,dimension2_facet3
i163,Seldom get emotional.,-O3,O3,Openness,Emotionality,dimension1,dimension1_facet3
i164,Look down on others.,-A3,A3,Agreeableness,Altruism,dimension4,dimension4_facet3
i165,Break rules.,-C3,C3,Conscientiousness,Dutifulness,dimension4,dimension4_facet3
i166,Stumble over my words.,+N4,N4,Neuroticism,Self-Consciousness,dimension1,dimension1_facet1
i167,Like to take it easy.,-E4,E4,Extraversion,Activity Level,dimension3,dimension3_facet5
i168,Dislike changes.,-O4,O4,Openness,Adventurousness,dimension2,dimension2_facet6
i169,Love a good fight.,-A4,A4,Agreeableness,Cooperation,dimension4,dimension4_facet4
i17,Am always busy.,+E4,E4,Extraversion,Activity Level,dimension3,dimension3_facet1
i170,Set high standards for myself and others.,+C4,C4,Conscientiousness,Achievement-Striving,dimension3,dimension3_facet1
i171,Rarely overindulge.,-N5,N5,Neuroticism,Immoderation,dimension1,dimension1_facet6
i172,Act wild and crazy.,+E5,E5,Extraversion,Excitement-Seeking,dimension2,dimension2_facet2
i173,Am not interested in abstract ideas.,-O5,O5,Openness,Intellect,dimension5,dimension5_facet2
i174,Think highly of myself.,-A5,A5,Agreeableness,Modesty,dimension1,dimension1_facet4
i175,Find it difficult to get down to work.,-C5,C5,Conscientiousness,Self-Discipline,dimension3,dimension3_facet1
i176,Remain calm under pressure.,-N6,N6,Neuroticism,Vulnerability,dimension1,dimension1_facet1
i177,Look at the bright side of life.,+E6,E6,Extraversion,Cheerfulness,dimension2,dimension2_facet4
i178,Believe that too much tax money goes to support artists.,-O6,O6,Openness,Liberalism,dimension5,dimension5_facet3
i179,Tend to dislike soft-hearted people.,-A6,A6,Agreeableness,Sympathy,dimension4,dimension4_facet1
i18,Prefer variety to routine.,+O4,O4,Openness,Adventurousness,dimension2,dimension2_facet6
i180,Like to act on a whim.,-C6,C6,Conscientiousness,Cautiousness,dimension3,dimension3_facet3
i181,Am relaxed most of the time.,-N1,N1,Neuroticism,Anxiety,dimension1,dimension1_facet2
i182,Often feel uncomfortable around others.,-E1,E1,Extraversion,Friendliness,dimension2,dimension2_facet1
i183,Seldom daydream.,-O1,O1,Openness,Imagination,dimension5,dimension5_facet1
i184,Distrust people.,-A1,A1,Agreeableness,Trust,dimension4,dimension4_facet2
i185,Misjudge situations.,-C1,C1,Conscientiousness,Self-Efficacy,dimension3,dimension3_facet3
i186,Seldom get mad.,-N2,N2,Neuroticism,Anger,dimension1,dimension1_facet2
i187,Want to be left alone.,-E2,E2,Extraversion,Gregariousness,dimension2,dimension2_facet1
i188,Do not like poetry.,-O2,O2,Openness,Artistic Interests,dimension5,dimension5_facet3
i189,Put people under pressure.,-A2,A2,Agreeableness,Morality,dimension4,dimension4_facet3
i19,Am easy to satisfy.,+A4,A4,Agreeableness,Cooperation,dimension4,dimension4_facet2
i190,Leave a mess in my room.,-C2,C2,Conscientiousness,Orderliness,dimension3,dimension3_facet2
i191,Feel that my life lacks direction.,+N3,N3,Neuroticism,Depression,dimension1,dimension1_facet5
i192,Keep in the background.,-E3,E3,Extraversion,Assertiveness,dimension2,dimension2_facet3
i193,Am not easily affected by my emotions.,-O3,O3,Openness,Emotionality,dimension1,dimension1_facet3
i194,Am indifferent to the feelings of others.,-A3,A3,Agreeableness,Altruism,dimension4,dimension4_facet1
i195,Break my promises.,-C3,C3,Conscientiousness,Dutifulness,dimension3,dimension3_facet1
i196,Am not embarrassed easily.,-N4,N4,Neuroticism,Self-Consciousness,dimension1,dimension1_facet1
i197,Like to take my time.,-E4,E4,Extraversion,Activity Level,dimension3,dimension3_facet5
i198,Don't like the idea of change.,-O4,O4,Openness,Adventurousness,dimension5,dimension5_facet5
i199,Yell at people.,-A4,A4,Agreeableness,Cooperation,dimension4,dimension4_facet3
i2,Make friends easily.,+E1,E1,Extraversion,Friendliness,dimension2,dimension2_facet1
i20,Go straight for the goal.,+C4,C4,Conscientiousness,Achievement-Striving,dimension3,dimension3_facet1
i200,Demand quality.,+C4,C4,Conscientiousness,Achievement-Striving,dimension3,dimension3_facet1
