item#,Item,Key,Dimension,Facet,fa_dim,fa_facet
i102,Wait for others to lead the way,E3,Extraversion,Assertiveness,Conscientiousness,Dimension not accurate enough
i103,Don't understand people who get emotional,O3,Openness,Emotionality,Agreeableness,Dimension not accurate enough
i107,Like to take it easy,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
i12,Take charge,E3,Extraversion,Assertiveness,Conscientiousness,Dimension not accurate enough
i13,Experience my emotions intensely,O3,Openness,Emotionality,Neuroticism,Dimension not accurate enough
i17,Am always busy,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
i43,Feel others' emotions,O3,Openness,Emotionality,Agreeableness,Dimension not accurate enough
i46,Am afraid to draw attention to myself,N4,Neuroticism,Self-consciousness,Agreeableness,Dimension not accurate enough
i72,Take control of things,E3,Extraversion,Assertiveness,Conscientiousness,Dimension not accurate enough
i73,Rarely notice my emotional reactions,O3,Openness,Emotionality,Agreeableness,Dimension not accurate enough
i75,Break rules,C3,Conscientiousness,Dutifulness,Agreeableness,Dimension not accurate enough
i77,Do a lot in my spare time,E4,Extraversion,Activity Level,Conscientiousness,Dimension not accurate enough
